DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm, RHOfluid,PHI,LFC
2101.7971,2433.5,1015.3,2.2528,90.4815,0.3969,2.25785499999999,1.0,0.901334645669237,2.39682852358909,5494.49014249998,2292.40018149999,0.477772193487709,2.72644355095803,1.09,0.286345685852539,0.0
2101.9497,2430.5,994.5,2.2629,89.3341,0.3771,2.2642425,1.0,0.924690085357864,2.4439416792358,5503.24139625,2251.78916625,0.464754872986394,2.72436077967782,1.09,0.281527974361036,0.0
2102.1021,2416.3,987.3,2.2683,88.8499,0.391,2.26825200000002,1.0,0.954476377952824,2.44738174820217,5480.77730760004,2239.44519960002,0.459261595501003,2.72348185528016,1.09,0.278686814799094,0.0
2102.2544,2400.4,1009.1,2.2804,86.8039,0.4082,2.28272,1.0,0.988447143795137,2.37875334456446,5479.44108799999,2303.492752,0.436049605135227,2.71976793682164,1.09,0.268165747372579,0.0
2102.4067,2380.1,986.2,2.29,86.138,0.4057,2.289732,1.0,1.0,2.41340498884608,5449.79113320001,2258.1336984,0.428494930460462,2.71855918887367,1.09,0.263316919522128,0.0
2102.5591,2367.5,986.2,2.2863,86.8705,0.4112,2.2792035,1.0,0.988512147078131,2.40062867572501,5396.01428625,2247.7504917,0.436805186053292,2.71988882976853,1.09,0.270377538467523,0.0
2102.7117,2348.9,985.3,2.263,87.9711,0.4093,2.260309,1.0,0.974909448818852,2.38394397645387,5309.23981010001,2227.0824577,0.449291557801373,2.72188664924822,1.09,0.282849087257902,0.0
2102.864,2349.8,983.8,2.2401,86.831,0.4221,2.23488000000001,1.0,0.998640840446487,2.3884935962594,5251.52102400002,2198.67494400001,0.436357056229515,2.71981712899672,1.09,0.29754082244505,0.0
2103.0164,2352.9,985.1,2.2241,89.1146,0.4243,2.224164,1.0,0.965391874180999,2.38848847832707,5233.2354756,2191.0239564,0.462264632573252,2.72396234121172,1.09,0.305881187470378,0.0
2103.1687,2358.1,931.5,2.2249,87.9305,0.4231,2.23221350000002,1.0,0.877649606299184,2.53150831991412,5263.78265435004,2079.30687525002,0.448830948412883,2.72181295174606,1.09,0.300034051833064,0.0
2103.3213,2365.2,931.5,2.246,89.1956,0.3995,2.25089899999998,1.0,0.858214707813551,2.53913043478261,5323.82631479995,2096.71241849998,0.463183582338466,2.72410937317415,1.09,0.289583048076516,0.0
2103.4736,2368.7,982.4,2.2686,88.1013,0.3855,2.27341599999999,1.0,0.899623112278386,2.41113599348534,5385.04047919997,2233.40387839999,0.450768684461013,2.72212298951376,1.09,0.274922289800876,0.0
2103.626,2365.6,972.6,2.281,88.3197,0.4017,2.27787999999996,1.0,0.938602228047191,2.43224347110837,5388.55292799991,2215.46608799996,0.453246445309442,2.72251943124951,1.09,0.272363944182415,0.0
2103.7783,2355.9,973.5,2.2686,91.8008,0.4225,2.26117,1.0,0.93338976377951,2.42003081664099,5327.090403,2201.248995,0.492739729601868,2.7288383567363,1.09,0.285365762165617,0.0
2103.9309,2351.6,979.8,2.2492,91.6248,0.4324,2.24714600000001,1.0,0.906028233749186,2.40008164931619,5284.38853360003,2201.75365080001,0.490742999247822,2.72851887987965,1.09,0.293785372747731,0.0
2104.0833,2352.6,962.3,2.2433,96.0881,0.4336,2.25008049999999,1.0,0.90079724409443,2.44476774394679,5293.53938429997,2165.25246514999,0.54137940032288,2.73662070405166,1.09,0.295478007081106,0.0
2104.2356,2348.0,962.3,2.2597,92.1372,0.4266,2.26783200000001,1.0,0.952429415627036,2.43998752987634,5324.86953600001,2182.33473360001,0.496556207392214,2.72944899318275,1.09,0.281568377608739,0.0
2104.3879,2343.6,961.1,2.2815,90.9255,0.4321,2.2789235,1.0,0.992964613368274,2.43845593590677,5340.88511459999,2190.27337585,0.482809399608142,2.7272495039373,1.09,0.273828761504681,0.0
2104.5403,2345.9,955.1,2.2754,89.3201,0.425,2.26814899999997,1.0,0.975766250820741,2.45618259868077,5320.85073909994,2166.30910989997,0.464596042162777,2.72433536674604,1.09,0.279126534264712,0.0
2104.6929,2356.8,955.5,2.2583,90.0203,0.4279,2.251497,1.0,0.962015748031477,2.46656200941915,5306.3281296,2151.3053835,0.472539852355405,2.72560637637686,1.09,0.289867649835832,0.0
2104.8452,2366.2,966.2,2.2445,91.6612,0.4332,2.24174,1.0,0.924736047275073,2.44897536741875,5304.40518799999,2165.969188,0.491155959389227,2.72858495350228,1.09,0.297113037967124,0.0
2104.9976,2380.7,966.2,2.2387,92.4772,0.4331,2.236072,1.0,0.873182175622473,2.46398261229559,5323.41661039999,2160.4927664,0.500413527394346,2.7300661643831,1.09,0.301203802084969,0.0
2105.1499,2384.6,965.6,2.2333,93.4056,0.4255,2.2337485,1.0,0.850145669291334,2.4695526097763,5326.5966731,2156.9075516,0.510946280011935,2.73175140480191,1.09,0.303336365874466,0.0
2105.3025,2376.1,960.8,2.2355,90.7311,0.4053,2.23629999999995,1.0,0.87085554825993,2.47304329725229,5313.67242999989,2148.63703999995,0.480603920171628,2.72689662722746,1.09,0.29971142897305,0.0
2105.4548,2344.7,948.2,2.2477,87.2954,0.4141,2.251014,1.0,0.905933026920545,2.47279055051677,5277.95252579999,2134.4114748,0.441625701550075,2.72066011224801,1.09,0.288009811928597,0.0
2105.6072,2325.6,938.6,2.259,85.5143,0.4151,2.258352,1.0,0.950392529488769,2.47773279352227,5252.0234112,2119.6891872,0.421419017268314,2.71742704276293,1.09,0.282086404305748,0.0
